lat,lon
51.5609629,7.3120223
51.206659,6.2104042
51.4622631,6.7681276
51.0822284,6.9343161
51.0519749,6.937719
50.9298936,6.9861562
51.8264124,8.2027006
51.5376853,7.2058884
51.3266778,6.6206875
50.8904635,6.687886
51.5152178,6.5855291
51.0935066,6.9530982
51.4629655,6.7706776
51.0429485,7.0059728
51.8630628,6.244455
51.3698926,7.40984
52.0354655,8.3469457
50.9056056,6.6885945
51.0498852,6.9992793
50.7453511,7.0733099
50.7082007,7.0609441
50.9956719,6.8912706
51.5865321,7.3692017
51.6559404,8.7105319
51.7928948,8.0774165
51.4354821,7.2906955
51.5383721,6.74801
51.3162529,6.2242271
51.0332952,6.4736901
51.1672191,6.7734553
51.5741692,7.1384703
51.2179506,7.05871
52.2076203,8.7236529
51.1745657,6.715023
51.7076476,7.1526149
51.4744481,7.1384884
51.504007,6.9339761
50.8374407,8.0074797
51.1911643,6.7845227
51.4799241,6.6987697
51.1441121,7.2001683
52.0081221,8.6270243
51.0839137,6.9890275
51.5026469,7.2614806
51.4781827,7.391005
50.9701319,7.6498599
51.495678,7.2330988
51.4838498,6.7722624
51.4374168,6.8079451
51.1941646,6.9349814
52.2877743,7.5975554
51.5222826,7.6529492
50.8258789,6.180436
51.4949759,6.6294084
51.6654434,6.7208561
52.2092833,8.7135136
50.9506989,7.0600025
51.3139875,7.2700926
51.4306265,7.5310449
51.4515806,6.7988121
51.0335885,6.4721693
50.8947415,7.9238971
51.9825035,8.6156404
51.0837099,6.4760402
51.4970948,7.2278437
52.013876,8.4065431
51.0350334,6.4714257
51.1933175,6.930875
50.9848103,7.789789
51.3522434,6.7416291
51.3744588,7.6281556
51.4839448,6.7701662
50.9034864,6.8450256
51.3574187,8.174087
51.5870786,7.2168113
51.2450049,6.4871315
51.4235163,7.0080708
51.5385727,6.7480226
51.0583363,6.9418295
51.357823,6.8688942
51.7024143,6.9263398
51.3915322,7.5264768
51.0708617,6.4875772
51.9869162,7.5572028
51.5833517,8.7214287
51.7334891,7.151208
50.7200769,7.0776994
51.4143736,6.4767554
51.9419266,8.5393673
51.1777221,6.7085816
51.725021,8.7060955
52.1357725,7.7235552
52.1615448,7.7482734
50.9648221,6.3649744
51.4910401,6.5762874
50.884078,7.1867504
51.7570512,6.9665257
51.2564435,7.088482
51.2410752,6.4876772
51.2385976,7.0947452
51.3796706,8.4266148
51.3774514,7.0770662
51.6030063,6.3525649
51.6226194,7.8138869
50.9830004,7.0161938
51.7782035,8.0299364
51.0838767,6.3383276
51.2875654,6.5527738
51.5334807,7.8520628
51.5852939,7.366814
51.4590751,7.3864226
51.4348467,6.6036233
51.6115777,7.0320941
50.8668371,6.2202204
51.47825,7.3907266
51.4998511,6.8642614
51.2764676,7.2593896
51.2875595,6.635456
51.1015322,7.6747387
51.1812238,6.7100326
50.9765554,7.6420806
51.6413911,7.0322609
51.4432908,7.9592156
51.9430927,8.5185645
51.3903583,6.3470934
51.817054,7.61572
51.4489336,6.9133283
51.3295683,6.6288734
51.3790211,7.4330803
51.5849617,8.3524758
50.9516522,7.8563456
51.2893426,6.5251617
50.9503632,7.1453504
51.9694522,7.5472336
51.1375078,7.188643
51.0432065,6.1652121
51.9184981,8.5202451
50.4659588,6.6966627
51.5139867,7.0466567
50.9003131,6.6915635
52.2520749,7.804278
50.6652904,7.3153918
51.7002641,6.9248124
51.0968016,6.507529
50.9509502,7.1261825
50.8060273,6.9943972
51.7445731,6.6021454
51.0402362,7.0024072
51.7800684,7.6391947
51.3123655,7.0721005
51.4598618,6.8853374
50.8852455,6.9664103
50.9292799,6.7831351
51.2732453,7.1671287
51.1050996,6.5650558
51.9021393,7.4911772
50.6810033,6.7488322
51.5851399,7.3922667
51.3153403,6.9538628
50.8031802,6.1587163
51.335768,7.2674052
51.5782995,7.515285
51.1903113,6.8580141
51.5384439,6.8728882
50.9821892,7.4307291
51.081394,6.9306565
51.1261233,7.6691014
50.710843,7.1381094
51.276295,6.7725652
51.3313755,7.0661698
51.5545243,6.9249716
51.4133263,7.504312
51.2379815,6.6174118
51.0429277,7.0062176
50.99417,6.8969464
51.0406797,7.008641
50.9681213,7.7149398
51.7979139,7.6341551
52.0257122,8.6363572
51.5813553,7.0286409
51.6708521,6.9184338
51.4441594,7.4365606
51.2449963,6.4868107
51.2322904,6.5745032
50.7633293,7.1375796
51.4966073,7.3874223
52.2172619,8.8247264
51.2714524,7.1593423
51.8985936,8.4681357
51.1934451,6.805221
51.4577342,7.558859
52.2750312,7.6648583
50.8234763,7.2034045
50.7954991,6.8719235
51.3321516,6.1771705
51.1013788,6.4246712
51.2755137,6.7746065
50.9538369,7.3202778
51.601384,7.6916286
51.5158303,7.2120034
51.4816074,6.7729989
51.5197077,7.9016389
51.213978,6.6449755
51.9505351,8.5617478
50.6470531,6.7231889
51.1895751,6.8735485
51.5736711,7.6667554
51.1778166,6.8848553
51.1351974,6.4244958
51.5959333,7.3401667
52.2186835,9.0547456
51.8068174,6.9821822
51.3964818,6.3661173
50.7871401,7.2385589
51.3106022,7.2491597
50.8333998,8.0248442
51.4501419,7.5405288
51.5610664,6.8093092
52.2065844,8.8402078
51.6271461,7.8627895
51.0945574,6.9554149
51.2338414,6.633808
50.628741,6.9719081
51.4436106,7.2940808
51.5407113,7.1481164
51.1934349,7.6711518
51.9445646,8.5440212
51.2949747,6.805222
51.4783605,7.2786336
51.4942366,7.3862312
51.498331,7.2156539
51.5496929,7.2124454
51.5232006,7.6561953
50.7929369,7.1479741
51.1791939,6.7736901
51.2812899,6.6381357
51.3800137,6.903037
51.0421692,7.0085746
51.2520883,6.4941946
51.4750121,7.6041205
51.4569123,7.9573035
51.280474,6.8101797
50.7221339,7.1478107
51.1600166,7.2297676
51.1347308,6.424438
51.458283,7.3852443
51.4374582,6.6095239
50.6532397,7.0479615
51.4628269,6.7678499
51.2046574,6.2593158
50.9370762,6.6517904
51.4870299,6.812257
51.4639046,7.4161445
50.965838,7.7005162
51.5789822,8.2475162
51.2868404,6.5546064
50.745603,7.0745305
50.8350408,8.0358026
51.893449,7.5722812
50.8278017,6.9642349
51.4531794,6.778158
51.8674432,6.2138665
51.7818572,7.1779154
51.9022009,6.1622718
51.9334939,8.5724449
51.0229983,6.9413685
51.5600487,7.3592423
51.3371895,7.2682621
51.4926111,7.3564837
51.6651199,6.1375589
51.1402838,6.6194195
51.6262126,7.8469672
51.3373308,7.2685311
50.8329657,8.0273334
51.5598317,6.8109589
51.2264554,7.6667811
51.4719839,7.189513
51.4907582,6.576539
52.216733,8.8261537
51.5406273,7.173764
51.4989766,7.3256533
51.1655261,6.9567876
51.1055009,6.5650422
51.1905041,6.8889638
51.1004765,6.9261464
51.5991535,7.3341159
51.4875714,6.8126382
51.4961784,6.8633989
50.8917518,6.6856359
51.4799455,9.0442371
50.6478531,7.3313094
51.5534922,6.9256028
51.7356317,7.1497171
51.0953395,6.4777173
52.2525328,7.7903128
51.043308,6.167779
50.9093941,7.0041992
51.4389846,6.9247587
51.6652578,6.7199723
51.0979898,6.8021127
51.1533919,6.4074276
51.7480706,6.5935929
50.981647,7.8155727
52.3035284,7.9477694
51.4267892,7.5257206
51.6486294,6.2335342
51.3803817,8.1495865
51.0980756,7.140908
51.8823547,6.1830439
51.6163089,7.7786229
50.8045291,6.1602174
51.6939241,7.9684193
51.6541278,7.0457875
51.1144949,6.9883554
51.4418209,7.9690306
51.4714814,7.1036212
50.9066424,7.0688447
51.2341699,6.5404588
51.0272965,6.1314783
51.1954817,6.9370921
51.0570366,6.9374247
51.4318014,7.5322746
52.0224179,8.3844092
51.440415,7.0357737
51.4717375,6.5874039
51.8554428,8.6674018
51.1780258,6.8857128
51.5185211,7.3828219
51.3523107,6.780778
52.0676467,7.6276445
51.5402694,8.8385143
51.4700794,7.1929437
51.2288082,7.0909484
51.4870427,6.8167216
51.5494072,7.2140057
51.3498143,6.8542682
51.2773119,6.771129
52.0568099,7.0639176
51.233444,6.6384642
50.7612793,7.1140498
50.8446251,7.0955266
51.4957415,6.847352
51.1010145,7.6754835
51.3520507,6.7789532
51.9950085,8.6164214
51.4360921,7.2875227
50.9480167,6.6029019
51.483685,6.7695941
50.595161,7.0325039
52.2329091,8.7930955
50.8368472,6.7624751
51.4924525,6.6419793
51.6592096,7.6828032
51.4553042,7.9545528
52.1800898,8.6139035
51.1958099,6.6535294
51.4776764,7.3924588
51.3411511,6.6240089
51.5222628,7.38043
51.4325746,7.5343982
51.3518928,6.7556995
50.7969607,8.0968593
51.2704405,7.1551723
51.4589291,6.5905757
